,all case,all reversed case,civil casess,reversed civil cases
Constance M. Sweeney,4,1,1,0
Thomas P. Billings,4,0,1,0
Not Mentioned,83,31,45,11
Renee P. Dupuis,1,0,1,0
William F. Sullivan,3,2,2,2
Gordon H. Piper,2,1,2,1
Robert N. Tochka,5,1,2,0
John A. Agostini,3,1,0,0
Myong J. Joun,4,2,0,0
Paul D. Wilson,8,3,8,3
Bruce R. Henry,2,1,2,1
Tina S. Page,1,0,0,0
Renee Paula Dupuis,7,1,3,0
Robert A. Cornetta,1,1,1,1
J. Thomas Kirkman,3,2,0,0
David E. Frank,2,1,0,0
"Cornelius J. Moriarty, II",6,2,2,1
Harry M. Grossman,1,0,1,0
Cathleen E. Campbell,2,0,0,0
James D. Barretto,1,1,0,0
Leilah A. Keamy,1,1,1,1
Paul E. Troy,1,1,1,1
Thomas A. Connors,4,0,1,0
Kenneth J. Fishman,3,1,2,0
Elizabeth M. Fahey,7,3,2,1
Paula J. Clifford,2,1,0,0
Robert C. Rufo,1,1,1,1
Ellen Flatley,2,1,0,0
Mark D. Mason,1,0,1,0
Theresa A. Bisenius,1,0,1,0
Charles J. Hely,2,0,0,0
Robert C. Cosgrove,4,2,2,1
Gary A. Nickerson,7,1,2,0
Mark Hart Summerville,1,1,0,0
Keith C. Long,3,2,3,2
Kathe M. Tuttman,4,2,1,1
Michael L. Fabbri,3,0,0,0
Michael A. Uhlarik,3,0,0,0
Raffi N. Yessayan,1,1,0,0
Randy J. Kaplan,1,1,1,1
Therese M. Wright,1,0,0,0
Dennis J. Curran,4,2,4,2
Robert L. Ullmann,4,2,3,2
Arthur C. Ryley,2,1,2,1
Peter M. Lauriat,7,1,3,1
Lisa A. Grant,2,2,0,0
Howard P. Speicher,3,0,3,0
Catherine K. Byrne,1,0,0,0
Alexander H. Sands,2,0,2,0
Karen F. Green,7,3,6,2
Janet L. Sanders,8,2,4,1
John F. Coffey,2,0,0,0
Gregory C. Flynn,1,0,0,0
Matthew J. Machera,1,0,0,0
Patricia T. Poehler,1,1,0,0
